yearFrom,yearTo,Building Type,BuildingSubType,Country,WallDescription,ArchetypeDescription
2015,2018,Terrace House,Terrace House Corner,Netherlands,"Terracehouses between 2015-2018 are also High-Performance Systems under Bouwbesluit 2012 (building permit regulation 2012). By this period, wall construction was fully aligned with modern energy standards. Common configurations included cast concrete or steel frames as load-bearing elements, high-performance insulation (typically EPS — expanded polystyrene), and multi-layer systems optimised for thermal and acoustic performance. The Bouwbesluit 2012 (building permit regulation 2012) reinforced the need for energy efficiency, leading to thicker insulation layers and more sophisticated material combinations. Steel frames returned as a viable structural solution, especially in larger or more complex developments. Typically, the load-bearing layer is made out of cast concrete with 10 cm to 15 cm thickness, the insulation layer has a thickness between 5 cm and 8 cm, the facade is still commonly made out of brick, such as sand-lime brick and has a standard measure of 5 cm thickness. ","The 20,500 terraced houses (corner houses) built between 2015 and 2018 represent 0.3% of the Dutch housing stock. Of these, 90% are owned by the residents, and 10% are rented. The houses in this category often have 4 to 5 rooms spread over 3 floors. Due to increasingly stringent sound insulation requirements, more concrete is being used in construction. Furthermore, there is a further shift from poured construction to prefabricated construction. Original energy level: As of April 1, 2012, the Building Decree increased the minimum Rc value (thermal resistance) of floors, facades, and roofs of new buildings from 2.5 to 3.5 m².K/W. Subsequently, on March 1, 2013, the maximum U-value of windows was tightened from 2.2 to 1.65 W/m².K. As of January 1, 2015, the minimum Rc value has been further tightened to 3.5 for floors, 4.5 for facades, and 6.0 for roofs. This means that homes built between 2015 and 2018 have seen a significant increase in insulation levels. Solar panels are also sometimes installed during construction. With the introduction of BENG (Netherlands Energy Efficiency Directive), it is mandatory to equip new homes with a sustainable energy generation system. Natural gas-free construction became the standard as of July 1, 2018. Current energy level: Many homes still have central heating with individual heat generation (42%) and increasingly, connections to district heating (58%). In addition to third-party heat supply (58%) and the HR107 combination boiler (40%), heat pumps are used for space heating and hot water. No other appliances such as electric boilers, gas boilers, or kitchen water heaters are used for hot water production. Almost all homes were fitted with HR++ glass or better upon completion (HR++ 67%, triple glazing 28% of the glass surface). Double glazing is used to a very limited extent (5%). All solid facades, floors, and roofs are insulated, with the insulation level meeting at least the requirements from the construction period. Almost all homes have mechanical ventilation (98%). In addition, balanced ventilation is used to a very limited extent (2%), and natural ventilation is no longer used. All homes are sealed."
1900,1964,Apartment House,Maisonette House ,Netherlands,"The wall construction of apartment buildings in the Netherlands has historically differed from that of single-family housing due to scale, structural demands, and the need for rapid housing production. Especially after the Second World War, apartment construction became strongly associated with industrialized, prefabricated concrete systems. Over time, energy regulations gradually improved thermal performance, but changes occurred more slowly than in detached and semi-detached housing.","The maisonettes built up to and including 1964 represent approximately 3.1% of the Dutch housing stock, totaling 233,000. Approximately 46% are owned by the resident, and 54% are rented. Homes in this category often have 3 to 4 rooms, spread over 2 or 3 floors. They are accessible via a secure porch or are ground-floor/upper-floor units. Homes in this category are often built traditionally with brick walls and facades. The floors and roof cladding are often wooden. Original energy level: Until 1965, no energy efficiency requirements were imposed on homes. Therefore, homes were not insulated. Until around 1930, no cavity walls were used. Houses built before 1960 often had steel window frames with single glazing. Many houses were equipped with local gas heaters, electric boilers, and natural ventilation at that time. Current energy level: Some of these houses have been improved over the years. All houses now have central heating, with 94% individually generated, 5% collectively, and 1% connected to district heating. The HR107 combination boiler is the most common (83%). A limited number of houses have a different boiler (CR 2%, VR 3%) or are still locally heated (5%). In addition to combination boilers, electric boilers (6%), gas bath and kitchen water heaters (6%) are also used for hot water production. With post-insulation, the focus is on installing double glazing (55% of the glass surface) and very limited use of high-efficiency glass or better (high-efficiency 9%, high-efficiency 2%, and high-efficiency 14%). One-fifth of the glass surface is single-glazed (20%). Post-insulation of solid sections lags far behind. Only 21% of the solid facade sections are insulated, 12% of the floor area, 22% of the pitched roof, and 30% of the flat roof. The majority of homes have natural ventilation (79%). The remainder have mechanical ventilation (21%). Some homes are fitted with airtight sealing.
General"
1965,1974,Apartment House,Maisonette House ,Netherlands,"The wall construction of apartment buildings in the Netherlands has historically differed from that of single-family housing due to scale, structural demands, and the need for rapid housing production. Especially after the Second World War, apartment construction became strongly associated with industrialized, prefabricated concrete systems. Over time, energy regulations gradually improved thermal performance, but changes occurred more slowly than in detached and semi-detached housing.","The maisonettes built between 1965 and 1974, at 5,000 units, represent only 0.1% of the Dutch housing stock. The majority (88%) are rented, while the remaining 12% are owner-occupied. The homes in this category often have 3 to 4 rooms spread over 2 floors.
A characteristic of this construction period is the introduction and increasing use of prefabricated construction. Original Energy Level: Since 1965, requirements have been imposed on the energy quality of homes. However, by current new construction standards, these homes were not very well insulated. Natural ventilation was used to ventilate these homes. Many maisonettes were equipped with local gas heaters, electric boilers, and natural ventilation during this construction period. Central heating was increasingly used.
Current Energy Level: Some of these homes have been energy-efficiently upgraded over the years. All homes have central heating. Individual heating is most common (76%), but a significant number are collectively heated (space heating and hot water 24%). Only the HR107 combination boiler is used as an individual boiler (76%). In addition to collective heating and individual combination boilers, electric boilers (11%) are also used for hot water production. When it comes to post-insulation, the focus is on installing double glazing (76% of the glass surface) and HR++ glass (16%). Single glazing still accounts for 5% of the total area. Post-insulation of the solid sections lags far behind. Of the solid facade sections, 45% are insulated, of the floors 12%, of the pitched roof 58%, and of the flat roof 44%.
Most of the homes have natural ventilation (67%). The remainder have mechanical ventilation (33%). Some of the homes are fitted with airtight sealing."
1975,1991,Apartment House,Maisonette House ,Netherlands,"The wall construction of apartment buildings in the Netherlands has historically differed from that of single-family housing due to scale, structural demands, and the need for rapid housing production. Especially after the Second World War, apartment construction became strongly associated with industrialized, prefabricated concrete systems. Over time, energy regulations gradually improved thermal performance, but changes occurred more slowly than in detached and semi-detached housing.","The maisonettes built between 1975 and 1991 represent 96,000 homes, representing 1.3% of the Dutch housing stock. The majority (84%) are rented, while the remaining 16% are owner-occupied. Homes in this category often have 2 to 4 rooms spread over 2 or 3 floors. They are accessible via an open gallery or porch. A characteristic of this construction period is the introduction and increasing use of prefabricated construction. Original Energy Level: The energy quality requirements for new-build homes were raised in 1975 (Rc 1.3 m²K/W for roof and solid facade), in 1979 (double glazing in the living area), in 1983 (Rc 1.3 m²K/W ground floor), and in 1988 (Rc 2.0 m²K/W for roof and solid facade). The homes from the first part of this period, in particular, were not very well insulated by current new construction standards. It was striking during this construction period that the energy requirements for social housing were higher than those of other housing. For example, social housing units were required to have double glazing in their living areas as early as 1975.
Nevertheless, double glazing was widely used in all homes. Furthermore, the floors in many homes were insulated better than required. Many maisonettes were equipped with local gas heaters, electric boilers, and natural ventilation during this construction period. Central heating was increasingly used. Current energy level: All homes have central heating. Individual heating is most common (95%), but some have collective block heating (5%). For individual heating, the HR107 combination boiler is the most common (83%). A smaller proportion of homes have a VR boiler (10%) or are collectively heated. Besides combination boilers and collective systems, no other appliances, such as gas boilers or kitchen water heaters, are used for hot water production (apart from electric boilers, which account for 2%). Some homes have been fitted with double glazing since completion. Double glazing accounts for a large portion of the glass surface (68% of the glass surface). A small portion of the glass surface in these homes is still single-glazed (13% of the glass surface), or has already been upgraded to HR++ glass (13%). All solid facade sections are insulated, although the insulation level is generally not very high. The majority of homes have mechanical ventilation (67%). Natural ventilation is also available (33%). All homes are fitted with airtight seals."
1992,2005,Apartment House,Maisonette House ,Netherlands,"The wall construction of apartment buildings in the Netherlands has historically differed from that of single-family housing due to scale, structural demands, and the need for rapid housing production. Especially after the Second World War, apartment construction became strongly associated with industrialized, prefabricated concrete systems. Over time, energy regulations gradually improved thermal performance, but changes occurred more slowly than in detached and semi-detached housing.","The maisonettes built between 1992 and 2005 represent 48,500 homes, representing 0.6% of the Dutch housing stock. The majority (57%) are owner-occupied, with the remaining 43% being rental properties. Homes in this category often have 3 to 4 rooms spread over two floors. They are accessible via an open gallery, open porch, or are ground-floor/upper-floor units. A characteristic of this construction period is that few maisonettes are still built traditionally. Prefabricated construction is the most common construction method.
Original energy level: The homes from this period are well insulated. In 1992, insulation requirements were raised, making double glazing and insulation of the facade, floor, and roof (Rc 2.5 m²K/W) common practice. Central heating with a VR boiler was used to heat the homes. Current energy level: All homes have central heating. Individual heating is the most common (87%), while a significant portion uses third-party heat supply (13%). For individual heating, the HR107 combination boiler is most common (70%). A smaller portion of homes has a VR boiler (17%). Besides combination boilers and third-party heat supply, no other appliances are used for hot water production. All homes were fitted with double glazing (53% of the glass surface), HR glass (18%), or better (HR++ 24%) upon completion. Single glazing is no longer present. All solid facades are insulated, with the insulation level meeting at least current requirements (Rc 2.5 m²K/W). Almost all homes have mechanical ventilation (76%). Balanced ventilation is also increasingly common (20%) and natural ventilation is very limited (4%). All homes are fitted with airtight sealing."
2006,2014,Apartment House,Maisonette House ,Netherlands,"The wall construction of apartment buildings in the Netherlands has historically differed from that of single-family housing due to scale, structural demands, and the need for rapid housing production. Especially after the Second World War, apartment construction became strongly associated with industrialized, prefabricated concrete systems. Over time, energy regulations gradually improved thermal performance, but changes occurred more slowly than in detached and semi-detached housing.","The maisonettes built between 2006 and 2014 represent 19,500 homes, representing 0.3% of the Dutch housing stock. The majority (52%) are owner-occupied, with the remaining 48% being rental properties.
Homes in this category often have 4 to 5 rooms spread over 2 or 3 floors. Concrete construction methods, often cast in place or prefabricated construction, are common.Original energy level: Homes from this period are well insulated. Between 2006 and 2014, the EPC requirement was tightened from 1.0 to 0.6. This resulted in homes being even better insulated during this period. High-efficiency boilers were widely used for heating. Balanced ventilation also received attention. Current energy level: Almost all homes have central heating. Individual heating is most common (90%), and some have heat supplied by third parties (10%). Individual heating is the only type used. Besides combination boilers and third-party heat supply, no other appliances are used for hot water production.
The homes have HR++ glass (96%) and triple glazing (4%). Single and standard double glazing are not present. All solid facades, floors, and roofs are insulated, with the insulation level meeting at least the requirements from the construction period (Rc 2.5 m²K/W).
Slightly less than half of the homes have mechanical ventilation (41%). The remainder have balanced ventilation (59%). All homes are fitted with airtight seals.
"
2015,2018,Apartment House,Maisonette House ,Netherlands,"The wall construction of apartment buildings in the Netherlands has historically differed from that of single-family housing due to scale, structural demands, and the need for rapid housing production. Especially after the Second World War, apartment construction became strongly associated with industrialized, prefabricated concrete systems. Over time, energy regulations gradually improved thermal performance, but changes occurred more slowly than in detached and semi-detached housing.","The maisonettes built between 2015 and 2018, at 1,000 units, represent less than 0.1% of the Dutch housing stock. They are almost all rental properties. Properties in this category often have 3 to 4 rooms, spread over 1 or 2 floors.
Concrete construction methods are frequently used, including poured concrete or prefabricated construction.Original energy level: As of April 1, 2012, the Building Decree increased the minimum Rc value (thermal resistance) of floors, facades, and roofs of new buildings from 2.5 to 3.5 m².K/W. Subsequently, on March 1, 2013, the maximum U-value of windows was tightened from 2.2 to 1.65 W/m².K. As of January 1, 2015, the minimum Rc value was further tightened to 3.5 for floors, 4.5 for facades, and 6.0 for roofs. This means that homes built between 2015 and 2018 will see a significant increase in insulation. Solar panels are also sometimes installed during construction. With the introduction of BENG (Netherlands Energy Efficiency Directive), it is mandatory for new homes to be equipped with a sustainable energy generation system. As of July 1, 2018, natural gas-free construction is the norm. Current energy level: Almost all homes have central heating. Individual heating with an HR107 combination boiler is most common (90%), and some have heat supplied by third parties (10%). Besides combination boilers and third-party heat supply, no other appliances are used for hot water production. The homes have HR++ glass (96%) and triple glazing (4%). Single and standard double glazing are not present. All solid facades, floors, and roofs are insulated, with the insulation level meeting at least the requirements from the construction period. Slightly less than half of the homes have mechanical ventilation (41%). The remainder have balanced ventilation (59%). All homes are equipped with airtight seals."
1900,1964,Apartment House,Gallery House,Netherlands,"The wall construction of apartment buildings in the Netherlands has historically differed from that of single-family housing due to scale, structural demands, and the need for rapid housing production. Especially after the Second World War, apartment construction became strongly associated with industrialized, prefabricated concrete systems. Over time, energy regulations gradually improved thermal performance, but changes occurred more slowly than in detached and semi-detached housing.","The gallery-style apartments built up to and including 1964 represent approximately 1.1% of the Dutch housing stock, totaling 83,000. The majority (85%) are rented, while the remaining 15% are owner-occupied. The apartments in this category often have 2 to 4 rooms. Single-story apartments are part of a multi-story building. An elevator is often not present but is sometimes added later. The apartments are accessible via an open gallery. During this period, traditional construction methods were primarily used, using stacked construction. Cast-in-place construction was also frequently used for taller buildings. Original Energy Level: Until 1965, no energy efficiency requirements were imposed on homes. Therefore, the homes were not insulated. Cavity walls were not used until around 1930.
At that time, the gallery apartments were heated by collective conventional central heating boilers. For hot water, the apartments were equipped with electric boilers or kitchen water heaters. Current energy level: Some of these homes have seen some energy improvements over the years. All homes have central heating. Individual heating is most common (59%), but a large proportion have collective heating (40%). For individual heating, the HR107 boiler is most common (40%). Some homes have a different boiler (CR 13%, VR 2%) or are still heated locally (3%). In addition to combination boilers and collective systems, gas kitchen water heaters (7%) and, primarily, electric boilers (30%) are also used for hot water production. Regarding retrofitting insulation, the focus is on installing double glazing (47% of the glass surface), HR glass (13%), and HR++ glass (24%). Some single glazing is still present (16%). Retrofitting insulation of solid sections is lagging far behind. 36% of the solid facade sections are insulated, and 26% of the flat roof. The majority of homes have natural ventilation (58%). The remainder have mechanical exhaust ventilation (40%) and limited balanced ventilation (2%). Some homes are equipped with airtight seals. "
1965,1974,Apartment House,Gallery House,Netherlands,"The wall construction of apartment buildings in the Netherlands has historically differed from that of single-family housing due to scale, structural demands, and the need for rapid housing production. Especially after the Second World War, apartment construction became strongly associated with industrialized, prefabricated concrete systems. Over time, energy regulations gradually improved thermal performance, but changes occurred more slowly than in detached and semi-detached housing.","The gallery-style apartments built between 1965 and 1974 represent 209,000 units, representing 2.8% of the Dutch housing stock. The majority (81%) are rented. The remaining 19% are owner-occupied. The apartments in this category often have 3 to 4 rooms. The single-story apartments are part of a multi-story building with an elevator. They are accessible via an open gallery. A key feature of this construction period is the introduction and increasing adoption of prefabricated construction. Original Energy Level: Since 1965, requirements have been imposed on the energy quality of homes. However, by current new construction standards, these homes were not very well insulated. Natural ventilation was used to ventilate these homes. Many gallery apartments at that time were heated by collective conventional central heating boilers. This system was also used for hot water. Current energy level: Some of these homes have been improved in terms of energy efficiency over the years. Currently, collective heat generation is the most common (69%). In the remaining homes, individual heating is used (26%) or heat supplied by third parties (5%). Individual heating is the only type used (25%). The remaining heat comes from collective systems and heat supplied by third parties. Hot water is provided by the collective heating system in 28% of the homes, by a (bath or kitchen) water heater in 10%, by an electric boiler in 33%, and by a combination boiler (both VR and HR). Regarding retrofitting, the focus is on installing double glazing (54% of the glass surface) and HR++ glass (26%). Single glazing is also still present here (14%). Retrofitting of solid sections is lagging far behind. 48% of the solid facade sections are insulated, and 15% of the flat roof. The homes are equipped with mechanical ventilation (62%) or natural ventilation (36%). A very small percentage have balanced ventilation (2%). Some homes are equipped with airtight seals."
1975,1991,Apartment House,Gallery House,Netherlands,"The wall construction of apartment buildings in the Netherlands has historically differed from that of single-family housing due to scale, structural demands, and the need for rapid housing production. Especially after the Second World War, apartment construction became strongly associated with industrialized, prefabricated concrete systems. Over time, energy regulations gradually improved thermal performance, but changes occurred more slowly than in detached and semi-detached housing.","The gallery-access apartments built between 1975 and 1991 represent 117,000 units, representing 1.6% of the Dutch housing stock. The majority (79%) are rented, while the remaining 21% are owner-occupied. The apartments in this category often have two to three rooms. The single-story apartments are part of a multi-story building with an elevator. They are accessible via an open gallery. During this period, most gallery-access apartments were constructed using poured concrete construction, with fewer being stacked using sand-lime brick. Original Energy Level: The energy requirements for new-build homes were increased in 1975 (Rc 1.3 m²K/W for roof and solid facade), in 1979 (double glazing in living areas), in 1983 (Rc 1.3 m²K/W ground floor), and in 1988 (Rc 2.0 m²K/W for roof and solid facade). Houses from the first part of this period, in particular, were not very well insulated by current new-build standards. It was striking during this construction period that the energy requirements for social housing were higher than those of other housing. For example, social housing units were required to have double glazing in their living areas as early as 1975. Nevertheless, double glazing was widely used in all homes. For heating the homes, the (individual or collective) VR boiler was widely used. Current energy level: All homes have central heating. In addition to individual heating (66%), collective heating (31%) and, to a limited extent, heat supplied by third parties (4%) are also common. For individual heating, the HR107 combination boiler is most common (59%). The VR boiler is also used (7%). In addition to combination boilers (66%, both VR and HR) and collective systems (19%), electric boilers (13%) are used for hot water production. Double glazing is prevalent (75% of the glass surface). A significant portion of the glass surface in these homes is still single-glazed (11% of the glass surface). The share of HR++ glass is low, at 10%. Almost all solid facade sections are insulated, although the insulation level is generally not very high. The majority of homes have mechanical ventilation (77%). Natural ventilation (21%) and, to a very limited extent, balanced ventilation (2%) are also common. All homes are equipped with airtight sealing."
1992,2005,Apartment House,Gallery House,Netherlands,"The wall construction of apartment buildings in the Netherlands has historically differed from that of single-family housing due to scale, structural demands, and the need for rapid housing production. Especially after the Second World War, apartment construction became strongly associated with industrialized, prefabricated concrete systems. Over time, energy regulations gradually improved thermal performance, but changes occurred more slowly than in single-family houses, such as detached and semi-detached housing.","The gallery-access apartments built between 1992 and 2005 represent 139,000 units, representing approximately 1.9% of the Dutch housing stock. The majority (72%) are rented, while the remaining 28% are owner-occupied. These apartments often have three rooms. Single-story apartments are part of a multi-story building with an elevator. They are accessible via an open or enclosed gallery. During this period, most gallery-access apartments were constructed using poured concrete construction, with fewer using stacked construction using sand-lime brick. Original energy level: The houses from this period were well insulated. In 1992, insulation requirements were raised, making double glazing and insulation of the facade, floor, and roof (Rc 2.5 m²K/W) common practice. VR boilers (individual or collective) were widely used for heating the house. Mechanical ventilation with an extractor fan also became a priority. Current energy level: All homes have central heating. Individual heating is the most common (70%), along with collective heating (22%) and heat supplied by third parties (8%). Individual heating almost exclusively uses the HR107 combination boiler (69%). A limited number of homes have a VR boiler (1%). Domestic hot water is primarily heated by individual combination boilers (70%). In addition, 15% receive hot water from a collective system, 8% from electric boilers, and 7% from heat supplied by third parties. Upon completion, all homes were fitted with double glazing (42% of the glass surface), HR glass (14%), or better (HR+ 17%, HR++ 27%). Single glazing is no longer used.
All solid facades are insulated, with an insulation level that at least meets current requirements (Rc 2.5 m²K/W). Most homes are equipped with mechanical ventilation (78%). In addition, there is limited natural ventilation (11%) and balanced ventilation (11%). All homes are equipped with airtight sealing.
"
2006,2014,Apartment House,Gallery House,Netherlands,"The wall construction of apartment buildings in the Netherlands has historically differed from that of single-family housing due to scale, structural demands, and the need for rapid housing production. Especially after the Second World War, apartment construction became strongly associated with industrialized, prefabricated concrete systems. Over time, energy regulations gradually improved thermal performance, but changes occurred more slowly than in detached and semi-detached housing.","The gallery-style apartments built between 2006 and 2014 represent 103,500 homes, representing approximately 1.4% of the Dutch housing stock. The majority (68%) are rented, while the remaining 32% are owner-occupied. Homes in this category often have three rooms. Single-story apartments are part of a multi-story building with an elevator. They are accessible via either an open or enclosed gallery. During this period, most gallery-style apartments were constructed using cast-iron construction. Due to noise regulations, sand-lime brick was replaced by concrete construction. Original Energy Level: The homes from this period were well insulated. Between 2006 and 2014, the EPC requirement was tightened from 1.0 to 0.6. This resulted in homes being even better insulated during this period. High-efficiency boilers were widely used for heating. Balanced ventilation also received attention. Current energy level: All homes have central heating. Individual heating is the most common (70%), along with collective heating (9%) and heat supplied by third parties (21%).
For individual heating, the HR107 combination boiler is most common (66%). Some homes have a heat pump (4%). Hot water is primarily heated by individual combination boilers (69%) and, to a very limited extent, by heat pumps (2%). Collective heating systems (9%) and heat supplied by third parties (20%) are also common. Almost all homes were fitted with HR++ glass upon completion (94% of the glass surface). Double glazing is still used to a very limited extent (4%). All solid facades, floors, and roofs are insulated, with the insulation level meeting at least the requirements from the construction period (Rc 2.5 m²K/W). Most homes have mechanical ventilation (67%). Natural ventilation is no longer used, but balanced ventilation (32%) is becoming increasingly popular. All homes are fitted with airtight seals."
2015,2018,Apartment House,Gallery House,Netherlands,"The wall construction of apartment buildings in the Netherlands has historically differed from that of single-family housing due to scale, structural demands, and the need for rapid housing production. Especially after the Second World War, apartment construction became strongly associated with industrialized, prefabricated concrete systems. Over time, energy regulations gradually improved thermal performance, but changes occurred more slowly than in detached and semi-detached housing.","The gallery apartments built between 2015 and 2018 represent approximately 0.4% of the Dutch housing stock, totaling 30,500 units. The majority (97%) are rented, while the remaining 3% are owner-occupied. These apartments often have three rooms. Single-story apartments are part of a multi-story building with an elevator. They are accessible via either an open or enclosed gallery. During this period, most gallery apartments were constructed using cast-iron construction. Due to noise regulations, sand-lime brick construction is being replaced by concrete. Original energy level: As of April 1, 2012, the Building Decree increased the minimum Rc value (thermal resistance) of floors, facades, and roofs of new buildings from 2.5 to 3.5 m².K/W. Subsequently, on March 1, 2013, the maximum U-value for windows was tightened from 2.2 to 1.65 W/m².K. As of January 1, 2015, the minimum Rc value was further tightened to 3.5 for floors, 4.5 for facades, and 6.0 for roofs. This means that homes built between 2015 and 2018 will see a significant increase in insulation.
Solar panels are sometimes installed during construction. With the introduction of BENG (Netherlands Energy Efficiency Directive), it is mandatory to equip new homes with a sustainable energy generation system. Natural gas-free construction became the standard as of July 1, 2018. Current energy level: All homes have central heating. Individual heating is the most common (49%), along with collective heating (44%) and heat supplied by third parties (7%).
For individual heating, only the HR107 combination boiler (39%) and heat pumps (9%) are common. Hot water generation is very diverse. This type of home features: collective heating (45%), individual combination boilers (29%), other gas-fired appliances (10%), heat pumps (7%), heat supplied by third parties (7%), and electric boilers (2%). Almost all homes were fitted with HR++ glass upon completion (93% of the glass surface). Triple glazing was used very sparingly (7%). All solid facades, floors, and roofs are insulated, with the insulation level meeting at least the requirements from the construction period. Most homes have balanced ventilation (67%). The remaining homes have mechanical ventilation (33%). Natural ventilation is no longer used. All homes are fitted with airtight seals."
1900,1964,Apartment House,Apartment Block,Netherlands,"The wall construction of apartment buildings in the Netherlands has historically differed from that of single-family housing due to scale, structural demands, and the need for rapid housing production. Especially after the Second World War, apartment construction became strongly associated with industrialized, prefabricated concrete systems. Over time, energy regulations gradually improved thermal performance, but changes occurred more slowly than in detached and semi-detached housing. 1900–1964: Early masonry and post-war industrial construction. Apartment buildings constructed between 1900 and 1964 reflect a major transition in Dutch construction practices. While early apartment buildings were still partially built using traditional masonry, the severe post-war housing shortage led to a rapid shift toward industrialized construction methods. Efficiency, speed, and standardization became central priorities. From the post-war period onward, apartment buildings were increasingly constructed using prefabricated concrete panels, often combined with steel structural elements. Façades were typically made of plain exposed concrete, concrete panels with minimal finishing, or lightweight façade systems incorporating aluminium profiles. Wall thicknesses were generally very slim, commonly ranging between 8 and 15 cm for load-bearing concrete elements. Until 1965, no energy efficiency requirements were imposed on residential buildings. As a result, apartment buildings from this period generally contain no thermal insulation. Cavity walls were uncommon before approximately 1930 and were rarely applied in apartment construction during this era.","The remaining apartment buildings built up to and including 1964 represent approximately 0.6% of the Dutch housing stock, totaling 44,000. The majority (80%) are rented, while the remaining 20% are owner-occupied. These apartments often have two to four rooms. Single-story apartments are part of a multi-story building. They are accessible via a central hall or corridor. Due to the post-war housing shortage, the construction industry made a major shift from traditional to more industrial construction during this period. The emphasis was on a more efficient construction process to accommodate the large number of new construction projects. One aspect of this efficiency improvement was the rise of prefabricated construction after the war. Original energy level: Until 1965, no energy efficiency requirements were imposed on homes. Therefore, homes were not insulated. Cavity walls were not used until around 1930. At that time, apartment buildings were primarily heated by local gas heaters. For hot water, the apartments were equipped with electric boilers and, in some cases, kitchen water heaters. Current energy level: Some of these homes have seen some energy improvements over the years. All homes have central heating. Individual heating is the most common (73%). The remaining homes have collective heating (23%) or limited heat supply from third parties (3%). For individual heating, the HR107 boiler is most common (58%). Some homes have a different boiler (CR 10%, VR 4%), or a heat pump (1%). In addition to combination boilers (62%) and collective systems (13%), electric boilers (23%) and heat pumps (1%) are also used for hot water production. When it comes to retrofitting insulation, the focus is on installing double glazing (49% of the glass surface) and HR++ glass (20%). A significant portion of the glass surface is still single glazing (29%). Retrofitting insulation of the solid sections lags far behind. Of the solid facade sections, 32% are insulated, 6% of the floor, 1% of the pitched roof, and 35% of the flat roof. Most homes have natural ventilation (73%). 19% have mechanical ventilation, and 8% have balanced ventilation. Some homes are fitted with airtight sealing."
1965,1974,Apartment House,Apartment Block,Netherlands,"The wall construction of apartment buildings in the Netherlands has historically differed from that of single-family housing due to scale, structural demands, and the need for rapid housing production. Especially after the Second World War, apartment construction became strongly associated with industrialized, prefabricated concrete systems. Over time, energy regulations gradually improved thermal performance, but changes occurred more slowly than in detached and semi-detached housing. 1965–1974: Standardized prefab systems with minimal insulation (MBV 1965). During this period, apartment construction continued to rely heavily on prefabricated concrete and steel-frame systems, following the Model Bouwverordening (MBV) 1965. Although this regulation introduced basic performance requirements, thermal insulation remained limited. External walls typically consisted of thin, load-bearing concrete panels (approximately 8–15 cm), combined with façade panels made of concrete, stone, or occasionally plastic (PVC-based) cladding. In many apartment buildings, insulation was either minimal or entirely absent, particularly in lower-cost housing developments. Thermal performance therefore remained low.","The remaining apartment buildings built between 1965 and 1974 represent 33,000 units, representing 0.4% of the Dutch housing stock. Almost all units (90%) are rented, and only 10% are owner-occupied. The units in this category often have 2 to 4 rooms. Single-story units are part of a multi-story building. They are accessible via a central hall or corridor. A characteristic of this construction period is the introduction and increasing use of prefabricated construction. Original Energy Level: Since 1965, requirements have been imposed on the energy quality of homes. However, by current new construction standards, the homes were not very well insulated. Many apartment buildings during this construction period were equipped with local gas heaters and electric boilers or district heating. The homes were often naturally ventilated. Current energy level: A number of these homes have been energy-efficiently upgraded over the years. Collective heating is the most common type (67%). Individual heating (20%) and heat supplied by third parties (13%) are less common.
Individual central heating is relatively rare; VR boilers (14%) and HR107 boilers (6%) are used here. Hot water is provided in 40% of homes by the collective heating system and in 11% by third-party heat supply. Furthermore, 23% of homes are heated by an electric boiler, 20% by a combination boiler (VR and HR107), and 6% by a kitchen water heater. Regarding retrofitting, the focus is on installing double glazing (79% of the glass surface) and partially HR++ glazing (14%). Single glazing still accounts for 6% of the homes. Retrofitting insulation of the solid sections lags far behind. Of the solid facades, 44% are insulated, and of the roofs, 35% are insulated. Most of the homes have mechanical ventilation (84%). The remainder are naturally ventilated (16%). Some of the homes are sealed with airtight seals."
